id,name,current_price,price_change_24h,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
bitcoin,Bitcoin,115820.0,-2611.499793194569,-2.20508,118696.0,114326.0,122838.0,67.81,01-08-25_14-13-00
ethereum,Ethereum,3670.02,-147.7626666845572,-3.87038,3817.78,3607.08,4878.26,0.432979,01-08-25_14-13-00
ripple,XRP,3.0,-0.11822344706706867,-3.79203,3.13,2.91,3.65,0.00268621,01-08-25_14-13-00
tether,Tether,0.999693,-9.6268332594129e-05,-0.00963,0.999938,0.999551,1.32,0.572521,01-08-25_14-13-00
binancecoin,BNB,774.32,-21.46933525925124,-2.69787,810.64,764.79,858.34,0.0398177,01-08-25_14-13-00
solana,Solana,169.39,-9.060366328456581,-5.07732,179.17,167.13,293.31,0.500801,01-08-25_14-13-00
usd-coin,USDC,0.999672,-9.5008020162601e-05,-0.0095,0.999842,0.999644,1.17,0.877647,01-08-25_14-13-00
staked-ether,Lido Staked Ether,3663.1,-153.72275527462534,-4.02751,3816.82,3598.76,4829.57,482.9,01-08-25_14-13-00
dogecoin,Dogecoin,0.208113,-0.011523703806419788,-5.24671,0.220422,0.202706,0.731578,8.69e-05,01-08-25_14-13-00
tron,TRON,0.327428,-0.000485719907610427,-0.14812,0.32911,0.323338,0.431288,0.00180434,01-08-25_14-13-00
cardano,Cardano,0.730166,-0.03524463136515665,-4.60467,0.773128,0.715446,3.09,0.01925275,01-08-25_14-13-00
wrapped-bitcoin,Wrapped Bitcoin,115665.0,-2749.176956486801,-2.32167,118509.0,114241.0,122745.0,3139.17,01-08-25_14-13-00
wrapped-steth,Wrapped stETH,4432.43,-178.12506621754892,-3.86342,4611.07,4349.42,7256.02,558.54,01-08-25_14-13-00
hyperliquid,Hyperliquid,40.0,-4.050362765274002,-9.19452,44.66,39.43,49.75,3.81,01-08-25_14-13-00
stellar,Stellar,0.39396,-0.020566182725764992,-4.96137,0.417731,0.385671,0.875563,0.00047612,01-08-25_14-13-00
sui,Sui,3.52,-0.2718219648560911,-7.16573,3.81,3.46,5.35,0.364846,01-08-25_14-13-00
wrapped-beacon-eth,Wrapped Beacon ETH,3947.36,-159.54576293375476,-3.88481,4106.91,3877.52,4317.06,1501.6,01-08-25_14-13-00
chainlink,Chainlink,16.74,-1.0288484423187079,-5.79068,17.78,16.39,52.7,0.148183,01-08-25_14-13-00
bitcoin-cash,Bitcoin Cash,558.01,-20.493984086765295,-3.54258,578.98,551.34,3785.82,76.93,01-08-25_14-13-00
