id,name,current_price,market_cap,price_change_24h,price_change_percentage_24h,ath,atl,time_stamp
bitcoin,Bitcoin,118373.0,2355617029686,552.08,0.46858,122838.0,67.81,31-07-25
ethereum,Ethereum,3836.77,463300859420,78.2,2.08055,4878.26,0.432979,31-07-25
ripple,XRP,3.16,187080365913,0.093844,3.06303,3.65,0.00268621,31-07-25
tether,Tether,0.999782,163716073126,-0.000136046495719522,-0.01361,1.32,0.572521,31-07-25
binancecoin,BNB,801.23,111621086425,10.43,1.31867,858.34,0.0398177,31-07-25
solana,Solana,180.99,97407290855,3.84,2.16742,293.31,0.500801,31-07-25
usd-coin,USDC,0.999807,63910479536,1.22e-06,0.00012,1.17,0.877647,31-07-25
staked-ether,Lido Staked Ether,3834.51,34424599103,82.16,2.18968,4829.57,482.9,31-07-25
dogecoin,Dogecoin,0.22246,33425126011,0.00548182,2.52644,0.731578,8.69e-05,31-07-25
tron,TRON,0.328482,31111073461,-0.002061893810685278,-0.62379,0.431288,0.00180434,31-07-25
cardano,Cardano,0.778651,28175970410,0.02018402,2.66116,3.09,0.01925275,31-07-25
wrapped-steth,Wrapped stETH,4636.89,15153695779,90.68,1.99453,7256.02,558.54,31-07-25
wrapped-bitcoin,Wrapped Bitcoin,118405.0,15023097201,438.13,0.3714,122745.0,3139.17,31-07-25
hyperliquid,Hyperliquid,43.62,14556528629,0.987548,2.31624,49.75,3.81,31-07-25
sui,Sui,3.89,13446646862,0.185271,4.99982,5.35,0.364846,31-07-25
stellar,Stellar,0.42269,13200342108,0.01408043,3.44594,0.875563,0.00047612,31-07-25
wrapped-beacon-eth,Wrapped Beacon ETH,4124.88,12227811481,83.8,2.07382,4317.06,1501.6,31-07-25
chainlink,Chainlink,18.0,12209707074,0.680122,3.92678,52.7,0.148183,31-07-25
hedera-hashgraph,Hedera,0.274474,11635333446,0.01778786,6.92982,0.569229,0.00986111,31-07-25
bitcoin-cash,Bitcoin Cash,582.22,11584982448,19.39,3.44581,3785.82,76.93,31-07-25
wrapped-eeth,Wrapped eETH,4112.9,10929574113,86.26,2.14231,4311.81,1505.24,31-07-25
avalanche-2,Avalanche,23.75,10045895314,0.256676,1.09248,144.96,2.8,31-07-25
weth,WETH,3838.9,8619209313,81.38,2.16584,4799.89,82.1,31-07-25
ethena-usde,Ethena USDe,1.001,8438436132,-0.000204755993145289,-0.02046,1.032,0.929486,31-07-25
the-open-network,Toncoin,3.49,8435358937,0.11939,3.54074,8.25,0.519364,31-07-25
litecoin,Litecoin,109.91,8369029413,2.58,2.40443,410.26,1.15,31-07-25
leo-token,LEO Token,8.93,8242081931,-0.039601512960699026,-0.44154,10.14,0.799859,31-07-25
usds,USDS,0.999684,7707731242,3.282e-05,0.00328,1.057,0.948265,31-07-25
shiba-inu,Shiba Inu,1.304e-05,7689559758,3.15868e-07,2.4825,8.616e-05,5.6366e-11,31-07-25
binance-bridged-usdt-bnb-smart-chain,Binance Bridged USDT (BNB Smart Chain),0.999404,6780242110,-0.000477104925968641,-0.04772,1.05,0.942186,31-07-25
coinbase-wrapped-btc,Coinbase Wrapped BTC,118472.0,6463849277,556.43,0.47189,123036.0,57439.0,31-07-25
whitebit,WhiteBIT Coin,44.23,6376199989,0.299196,0.68099,52.27,3.06,31-07-25
uniswap,Uniswap,9.99,6006724336,0.104084,1.0528,44.92,1.03,31-07-25
polkadot,Polkadot,3.9,5937618240,0.129327,3.43222,54.98,2.7,31-07-25
monero,Monero,308.54,5691620083,-2.2656846896577463,-0.72896,542.33,0.216177,31-07-25
bitget-token,Bitget Token,4.51,5139097923,0.01921077,0.42806,8.45,0.0142795,31-07-25
ethena-staked-usde,Ethena Staked USDe,1.18,5009756114,-0.001919670309235455,-0.16178,1.29,1.012,31-07-25
pepe,Pepe,1.154e-05,4855834557,3.34744e-07,2.98856,2.803e-05,5.5142e-08,31-07-25
crypto-com-chain,Cronos,0.147101,4759151090,0.00474374,3.33228,0.965407,0.0121196,31-07-25
ethena,Ethena,0.671795,4267848096,0.111973,20.0015,1.52,0.195078,31-07-25
aave,Aave,275.56,4195512949,1.74,0.63504,661.69,26.02,31-07-25
dai,Dai,0.999873,3762490989,-0.000121629584086125,-0.01216,1.22,0.88196,31-07-25
bittensor,Bittensor,377.83,3616459114,9.91,2.69228,757.6,30.83,31-07-25
near,NEAR Protocol,2.7,3358076410,0.087146,3.3318,20.44,0.526762,31-07-25
ethereum-classic,Ethereum Classic,21.69,3317260526,0.603817,2.86405,167.09,0.615038,31-07-25
