id,name,current_price,market_cap,price_change_24h,price_change_percentage_24h,ath,atl,time_stamp
tether-gold,Tether Gold,3307.85,815464618,-21.26366535897978,-0.63872,3530.16,1447.84,31-07-25
pax-gold,PAX Gold,3313.01,936146098,-18.630041076639372,-0.55918,3518.57,1399.64,31-07-25
reserve-protocol-eth-plus,ETHPlus,4017.17,334627539,-6.869653872316576,-0.17072,4194.11,1461.53,31-07-25
monero,Monero,308.54,5691620083,-2.2656846896577463,-0.72896,542.33,0.216177,31-07-25
okb,OKB,47.69,2861215567,-0.3045251739428352,-0.63452,73.8,0.580608,31-07-25
leo-token,LEO Token,8.93,8242081931,-0.039601512960699026,-0.44154,10.14,0.799859,31-07-25
wemix-token,WEMIX,0.906176,413702377,-0.03194399088967903,-3.40511,24.71,0.128398,31-07-25
memecore,MemeCore,0.321849,534647745,-0.002572169821067727,-0.79285,0.897338,0.04746135,31-07-25
tron,TRON,0.328482,31111073461,-0.002061893810685278,-0.62379,0.431288,0.00180434,31-07-25
ethena-staked-usde,Ethena Staked USDe,1.18,5009756114,-0.001919670309235455,-0.16178,1.29,1.012,31-07-25
